,Player,Team,Country,Assists p90,xA p90,Mins
1072,Andy Delort,Montpellier,fr FRA,0.33,0.22,269
1073,Léo Leroy,Montpellier,fr FRA,0.0,0.01,167
1074,Nicholas Gioacchini,Montpellier,fr FRA,0.72,0.31,125
1075,Béni Makouana,Montpellier,fr FRA,0.0,0.0,75
1076,Yanis Guermouche,Montpellier,fr FRA,0.0,0.0,1
1077,Matis Carvalho,Montpellier,fr FRA,0.0,0.0,0
1078,Sacha Delaye,Montpellier,fr FRA,0.0,0.0,0
1079,Redouane Halhal,Montpellier,fr FRA,0.0,0.0,0
1080,Ambroise Oyongo,Montpellier,fr FRA,0.0,0.0,0
1081,Petar Škuletić,Montpellier,fr FRA,0.0,0.0,0
1082,Mathías Suárez,Montpellier,fr FRA,0.0,0.0,0
1083,Thibaut Vargas,Montpellier,fr FRA,0.0,0.0,0
1084,Anthony Lopes,Lyon,fr FRA,0.0,0.0,1063
1085,Karl Toko Ekambi,Lyon,fr FRA,0.18,0.17,1012
1086,Houssem Aouar,Lyon,fr FRA,0.18,0.21,1005
1087,Bruno Guimarães,Lyon,fr FRA,0.18,0.15,977
1088,Maxence Caqueret,Lyon,fr FRA,0.0,0.05,1020
1089,Leo Dubois,Lyon,fr FRA,0.0,0.06,914
1090,Lucas Paquetá,Lyon,fr FRA,0.2,0.19,904
1091,Emerson Palmieri,Lyon,fr FRA,0.11,0.13,823
1092,Jason Denayer,Lyon,fr FRA,0.0,0.0,689
1093,Jérôme Boateng,Lyon,fr FRA,0.0,0.06,578
1094,Xherdan Shaqiri,Lyon,fr FRA,0.18,0.3,488
1095,Sinaly Diomande,Lyon,fr FRA,0.0,0.0,578
1096,Moussa Dembélé,Lyon,fr FRA,0.19,0.2,466
1097,Malo Gusto,Lyon,fr FRA,0.0,0.22,349
1098,Islam Slimani,Lyon,fr FRA,0.26,0.16,348
1099,Thiago Mendes,Lyon,fr FRA,0.0,0.01,340
1100,Rayan Cherki,Lyon,fr FRA,0.0,0.14,192
1101,Marcelo,Lyon,fr FRA,0.0,0.0,180
1102,Damien Da Silva,Lyon,fr FRA,0.0,0.0,177
1103,Castello Lukeba,Lyon,fr FRA,0.0,0.01,135
1104,Henrique,Lyon,fr FRA,0.0,0.01,184
1105,Tino Kadewere,Lyon,fr FRA,0.0,0.0,134
1106,Julian Pollersbeck,Lyon,fr FRA,0.0,0.0,105
1107,Maxwel Cornet,Lyon,fr FRA,0.0,0.09,63
1108,Habib Keita,Lyon,fr FRA,0.0,0.0,6
1109,Bradley Barcola,Lyon,fr FRA,0.0,0.0,0
1110,Malcolm Barcola,Lyon,fr FRA,0.0,0.0,0
1111,Kayne Bonnevie,Lyon,fr FRA,0.0,0.0,0
1112,Gael Nsombi,Lyon,fr FRA,0.0,0.0,0
1113,Florent da Silva,Lyon,fr FRA,0.0,0.0,0
1114,David García,Osasuna,es ESP,0.0,0.01,1170
1115,Darko Brašanac,Osasuna,es ESP,0.08,0.07,1081
1116,Sergio Herrera,Osasuna,es ESP,0.0,0.0,1080
1117,Nacho Vidal,Osasuna,es ESP,0.0,0.04,998
1118,Lucas Torró,Osasuna,es ESP,0.0,0.0,942
1119,Rubén García,Osasuna,es ESP,0.1,0.06,891
1120,Kike,Osasuna,es ESP,0.0,0.07,898
1121,Jon Moncayola,Osasuna,es ESP,0.1,0.04,871
1122,Manuel Sánchez,Osasuna,es ESP,0.22,0.08,803
1123,Unai García,Osasuna,es ESP,0.0,0.0,651
1124,Aridane Hernández,Osasuna,es ESP,0.0,0.0,519
1125,Roberto Torres,Osasuna,es ESP,0.38,0.32,472
1126,Ezequiel Ávila,Osasuna,es ESP,0.0,0.12,445
1127,Oier Sanjurjo,Osasuna,es ESP,0.0,0.05,371
1128,Javi Martínez,Osasuna,es ESP,0.0,0.18,318
1129,José Ángel,Osasuna,es ESP,0.32,0.09,277
1130,Kike Barja,Osasuna,es ESP,0.0,0.17,197
1131,Juan Cruz Armada,Osasuna,es ESP,0.0,0.0,192
1132,Jesús Areso,Osasuna,es ESP,0.0,0.03,172
1133,Iñigo Pérez,Osasuna,es ESP,0.0,0.34,149
1134,Ante Budimir,Osasuna,es ESP,0.0,0.0,119
1135,Robert Ibáñez,Osasuna,es ESP,0.0,0.16,93
1136,Juan Pérez,Osasuna,es ESP,0.0,0.0,90
1137,Javier Ontiveros,Osasuna,es ESP,0.0,0.0,39
1138,Barbero,Osasuna,es ESP,0.0,0.0,12
1139,Jaume Grau,Osasuna,es ESP,0.0,0.0,3
1140,Unai Dufur,Osasuna,es ESP,0.0,0.0,0
1141,Jonás Ramalho,Osasuna,es ESP,0.0,0.0,0
1142,Yoel Ramírez,Osasuna,es ESP,0.0,0.0,0
1143,Dario Ramos,Osasuna,es ESP,0.0,0.0,0
1144,José Sá,Wolves,eng ENG,0.09,0.08,990
1145,Max Kilman,Wolves,eng ENG,0.0,0.0,989
1146,Conor Coady,Wolves,eng ENG,0.0,0.0,986
1147,Romain Saïss,Wolves,eng ENG,0.0,0.01,938
1148,João Moutinho,Wolves,eng ENG,0.0,0.11,927
1149,Raúl Jiménez,Wolves,eng ENG,0.2,0.15,902
1150,Nélson Semedo,Wolves,eng ENG,0.0,0.05,864
1151,Rúben Neves,Wolves,eng ENG,0.0,0.1,815
1152,Fernando Marçal,Wolves,eng ENG,0.0,0.01,684
1153,Francisco Trincão,Wolves,eng ENG,0.0,0.08,619
1154,Adama Traoré,Wolves,eng ENG,0.0,0.15,645
1155,Hwang Hee-chan,Wolves,eng ENG,0.0,0.13,604
1156,Leander Dendoncker,Wolves,eng ENG,0.28,0.18,320
1157,Rayan Aït Nouri,Wolves,eng ENG,0.33,0.02,269
1158,Daniel Podence,Wolves,eng ENG,0.48,0.53,187
1159,Ki-Jana Hoever,Wolves,eng ENG,0.0,0.04,102
1160,Fábio Silva,Wolves,eng ENG,0.0,0.13,40
1161,Morgan Gibbs-White,Wolves,eng ENG,0.0,0.0,9
1162,Willy Boly,Wolves,eng ENG,0.0,0.0,0
1163,Chem Campbell,Wolves,eng ENG,0.0,0.0,0
1164,Luke Cundle,Wolves,eng ENG,0.0,0.0,0
1165,Christian Marques,Wolves,eng ENG,0.0,0.0,0
1166,Yerson Mosquera,Wolves,eng ENG,0.0,0.0,0
1167,Louie Moulden,Wolves,eng ENG,0.0,0.0,0
1168,John Ruddy,Wolves,eng ENG,0.0,0.0,0
1169,James Storer,Wolves,eng ENG,0.0,0.0,0
1170,Hugo Lloris,Tottenham,eng ENG,0.0,0.05,990
1171,Pierre Højbjerg,Tottenham,eng ENG,0.09,0.04,989
1172,Eric Dier,Tottenham,eng ENG,0.0,0.1,911
1173,Sergio Reguilón,Tottenham,eng ENG,0.21,0.09,873
1174,Son Heung-min,Tottenham,eng ENG,0.1,0.13,872
1175,Oliver Skipp,Tottenham,eng ENG,0.0,0.01,859
1176,Harry Kane,Tottenham,eng ENG,0.11,0.2,829
1177,Lucas Moura,Tottenham,eng ENG,0.0,0.07,749
1178,Emerson,Tottenham,eng ENG,0.0,0.03,675
1179,Cristian Romero,Tottenham,eng ENG,0.0,0.0,533
1180,Dele Alli,Tottenham,eng ENG,0.0,0.0,513
1181,Tanguy Ndombele,Tottenham,eng ENG,0.0,0.05,409
1182,Japhet Tanganga,Tottenham,eng ENG,0.0,0.09,364
1183,Davinson Sánchez,Tottenham,eng ENG,0.0,0.0,368
1184,Steven Bergwijn,Tottenham,eng ENG,0.33,0.14,270
1185,Giovani Lo Celso,Tottenham,eng ENG,0.0,0.29,213
1186,Ben Davies,Tottenham,eng ENG,0.0,0.02,211
1187,Harry Winks,Tottenham,eng ENG,0.0,0.0,60
1188,Joe Rodon,Tottenham,eng ENG,0.0,0.0,79
1189,Bryan,Tottenham,eng ENG,0.0,0.0,62
1190,Matt Doherty,Tottenham,eng ENG,0.0,0.0,28
1191,Pierluigi Gollini,Tottenham,eng ENG,0.0,0.0,0
1192,Dilan Markanday,Tottenham,eng ENG,0.0,0.0,0
1193,Tobi Omole,Tottenham,eng ENG,0.0,0.0,0
1194,Dane Scarlett,Tottenham,eng ENG,0.0,0.0,0
1195,Ryan Sessegnon,Tottenham,eng ENG,0.0,0.0,0
1196,Moussa Sissoko,Tottenham,eng ENG,0.0,0.0,0
1197,Memphis Depay,Barcelona,es ESP,0.17,0.25,1079
1198,Sergio Busquets,Barcelona,es ESP,0.0,0.05,1055
1199,Marc-André ter Stegen,Barcelona,es ESP,0.0,0.0,900
1200,Sergiño Dest,Barcelona,es ESP,0.31,0.27,877
1201,Eric García,Barcelona,es ESP,0.0,0.0,756
1202,Frenkie de Jong,Barcelona,es ESP,0.24,0.11,750
1203,Gerard Piqué,Barcelona,es ESP,0.0,0.0,745
1204,Jordi Alba,Barcelona,es ESP,0.5,0.19,720
1205,Gavi Paez,Barcelona,es ESP,0.15,0.17,593
1206,Óscar Mingueza,Barcelona,es ESP,0.0,0.11,534
1207,Nicolás González,Barcelona,es ESP,0.22,0.21,418
1208,Ronald Araújo,Barcelona,es ESP,0.0,0.0,483
1209,Philippe Coutinho,Barcelona,es ESP,0.0,0.08,403
1210,Sergi Roberto,Barcelona,es ESP,0.23,0.08,400
1211,Antoine Griezmann,Barcelona,es ESP,0.0,0.0,263
1212,Martin Braithwaite,Barcelona,es ESP,0.4,0.5,224
1213,Ansu Fati,Barcelona,es ESP,0.0,0.3,213
1214,Luuk de Jong,Barcelona,es ESP,0.0,0.06,221
1215,Clément Lenglet,Barcelona,es ESP,0.0,0.12,209
1216,Yusuf Demir,Barcelona,es ESP,0.0,0.01,189
1217,Neto,Barcelona,es ESP,0.0,0.0,180
1218,Sergio Agüero,Barcelona,es ESP,0.0,0.16,151
1219,Pedri,Barcelona,es ESP,0.0,0.08,151
1220,Alejandro Balde,Barcelona,es ESP,0.0,0.05,97
1221,Emerson,Barcelona,es ESP,0.0,0.0,91
1222,Riqui Puig,Barcelona,es ESP,0.0,0.08,129
1223,Abdessamad Ezzalzouli,Barcelona,es ESP,0.0,0.0,22
1224,Lazar Carević,Barcelona,es ESP,0.0,0.0,0
1225,Rey Manaj,Barcelona,es ESP,0.0,0.0,0
1226,Iñaki Peña ,Barcelona,es ESP,0.0,0.0,0
1227,Miralem Pjanić,Barcelona,es ESP,0.0,0.0,0
1228,Alvaro Sanz,Barcelona,es ESP,0.0,0.0,0
1229,Arnau Tenas,Barcelona,es ESP,0.0,0.0,0
1230,Samuel Umtiti,Barcelona,es ESP,0.0,0.0,0
1231,Matz Sels,Strasbourg,fr FRA,0.0,0.0,1170
1232,Ludovic Ajorque,Strasbourg,fr FRA,0.44,0.09,1015
1233,Anthony Caci,Strasbourg,fr FRA,0.09,0.12,972
1234,Alexander Djiku,Strasbourg,fr FRA,0.0,0.04,947
1235,Jean-Ricner Bellegarde,Strasbourg,fr FRA,0.0,0.03,838
1236,Sanjin Prcić,Strasbourg,fr FRA,0.0,0.11,733
1237,Kévin Gameiro,Strasbourg,fr FRA,0.0,0.01,720
1238,Adrien Thomasson,Strasbourg,fr FRA,0.12,0.17,751
1239,Gerzino Nyamsi,Strasbourg,fr FRA,0.12,0.03,734
1240,Frederic Guilbert,Strasbourg,fr FRA,0.25,0.12,711
1241,Ibrahima Sissoko,Strasbourg,fr FRA,0.39,0.31,700
1242,Dimitri Liénard,Strasbourg,fr FRA,0.13,0.05,702
1243,Maxime Le Marchand,Strasbourg,fr FRA,0.0,0.01,650
1244,Lucas Perrin,Strasbourg,fr FRA,0.0,0.0,625
1245,Habib Diallo,Strasbourg,fr FRA,0.0,0.13,636
1246,Jean-Eudes Aholou,Strasbourg,fr FRA,0.0,0.05,399
1247,Karol Fila,Strasbourg,fr FRA,0.0,0.21,284
1248,Abdul Majeed Waris,Strasbourg,fr FRA,0.0,0.06,169
1249,Mahame Siby,Strasbourg,fr FRA,0.0,0.0,17
1250,Mehdi Chahiri,Strasbourg,fr FRA,0.0,0.0,16
1251,Nordine Kandil,Strasbourg,fr FRA,9.0,3.25,10
1252,Dion Moise Sahi,Strasbourg,fr FRA,0.0,0.0,7
1253,Mouhamadou Diarra,Strasbourg,fr FRA,0.0,0.0,2
1254,Aymeric Ahmed,Strasbourg,fr FRA,0.0,0.0,0
1255,Marvin Elimbi,Strasbourg,fr FRA,0.0,0.0,0
1256,Eiji Kawashima,Strasbourg,fr FRA,0.0,0.0,0
1257,Marvin Senaya,Strasbourg,fr FRA,0.0,0.0,0
1258,Vincent Manceau,Angers,fr FRA,0.0,0.03,1170
1259,Romain Thomas,Angers,fr FRA,0.0,0.01,1170
1260,Jimmy Cabot,Angers,fr FRA,0.39,0.13,1153
1261,Angelo Fulgini,Angers,fr FRA,0.09,0.05,1034
1262,Paul Bernardoni,Angers,fr FRA,0.0,0.0,1080
1263,Ismaël Traoré,Angers,fr FRA,0.0,0.01,1080
1264,Thomas Mangani,Angers,fr FRA,0.18,0.06,1007
1265,Batista Mendy,Angers,fr FRA,0.0,0.02,909
1266,Sofiane Boufal,Angers,fr FRA,0.2,0.24,908
1267,Mohamed Ali Cho,Angers,fr FRA,0.0,0.05,858
1268,Souleyman Doumbia,Angers,fr FRA,0.0,0.05,615
1269,Pierrick Capelle,Angers,fr FRA,0.19,0.07,462
1270,Azzedine Ounahi,Angers,fr FRA,0.0,0.04,417
1271,Stéphane Bahoken,Angers,fr FRA,0.0,0.01,336
1272,Enzo Ebosse,Angers,fr FRA,0.0,0.0,272
1273,Danijel Petković,Angers,fr FRA,0.0,0.0,90
1274,Waniss Taibi,Angers,fr FRA,0.0,0.0,84
1275,Bilal Brahimi,Angers,fr FRA,0.87,0.45,104
1276,Mathias Pereira Lage,Angers,fr FRA,1.36,0.42,66
1277,Casimir Ninga,Angers,fr FRA,0.0,0.0,25
1278,Farid El Melali,Angers,fr FRA,0.0,0.0,14
1279,Antonin Bobichon,Angers,fr FRA,0.0,0.0,13
1280,Sada Thioub,Angers,fr FRA,0.0,0.0,3
1281,Rachid Alioui,Angers,fr FRA,0.0,0.0,0
1282,Abdoulaye Bamba,Angers,fr FRA,0.0,0.0,0
1283,Noah Fatar,Angers,fr FRA,0.0,0.0,0
1284,Anthony Mandrea,Angers,fr FRA,0.0,0.0,0
1285,Alban Lafont,Nantes,fr FRA,0.0,0.0,1170
1286,Andrei Girotto,Nantes,fr FRA,0.0,0.05,1112
1287,Moses Simon,Nantes,fr FRA,0.5,0.37,1076
1288,Nicolas Pallois,Nantes,fr FRA,0.0,0.0,1073
1289,Ludovic Blas,Nantes,fr FRA,0.0,0.13,1045
1290,Pedro Chirivella,Nantes,fr FRA,0.09,0.04,1031
1291,Jean-Charles Castelletto,Nantes,fr FRA,0.0,0.0,985
1292,Randal Kolo Muani,Nantes,fr FRA,0.19,0.15,966
1293,Fábio,Nantes,fr FRA,0.0,0.03,588
1294,Dennis Appiah,Nantes,fr FRA,0.0,0.04,638
1295,Charles Traore,Nantes,fr FRA,0.0,0.0,584
1296,Sébastien Corchia,Nantes,fr FRA,0.51,0.04,531
1297,Osman Bukari,Nantes,fr FRA,0.0,0.13,367
1298,Wylan Cyprien,Nantes,fr FRA,0.28,0.29,325
1299,Marcus Coco,Nantes,fr FRA,0.0,0.12,295
1300,Roli Pereira de Sa,Nantes,fr FRA,0.0,0.05,280
1301,Kalifa Coulibaly,Nantes,fr FRA,0.0,0.1,217
1302,Renaud Emond,Nantes,fr FRA,0.0,0.0,175
1303,Samuel Moutoussamy,Nantes,fr FRA,0.0,0.0,240
1304,Willem Geubbels,Nantes,fr FRA,0.0,0.0,97
1305,Quentin Merlin,Nantes,fr FRA,0.0,0.3,23
1306,Rémy Descamps,Nantes,fr FRA,0.0,0.0,0
1307,Anthony Limbombe,Nantes,fr FRA,0.0,0.0,0
1308,Yannis M'Bemba,Nantes,fr FRA,0.0,0.0,0
1309,Gor Manvelyan,Nantes,fr FRA,0.0,0.0,0
1310,Denis Petrić,Nantes,fr FRA,0.0,0.0,0
1311,Abdoulaye Sylla,Nantes,fr FRA,0.0,0.0,0
1312,Vicente Guaita,Crystal Palace,eng ENG,0.0,0.0,990
1313,Marc Guéhi,Crystal Palace,eng ENG,0.0,0.0,990
1314,Tyrick Mitchell,Crystal Palace,eng ENG,0.09,0.05,990
1315,Joel Ward,Crystal Palace,eng ENG,0.0,0.01,990
1316,James McArthur,Crystal Palace,eng ENG,0.09,0.08,950
1317,Joachim Andersen,Crystal Palace,eng ENG,0.0,0.05,934
1318,Conor Gallagher,Crystal Palace,eng ENG,0.21,0.22,875
1319,Wilfried Zaha,Crystal Palace,eng ENG,0.11,0.17,834
1320,Jordan Ayew,Crystal Palace,eng ENG,0.14,0.06,651
1321,Christian Benteke,Crystal Palace,eng ENG,0.13,0.1,680
1322,Cheikhou Kouyaté,Crystal Palace,eng ENG,0.0,0.0,634
1323,Odsonne Édouard,Crystal Palace,eng ENG,0.0,0.19,510
1324,Luka Milivojević,Crystal Palace,eng ENG,0.0,0.05,323
1325,Jeffrey Schlupp,Crystal Palace,eng ENG,0.0,0.12,198
1326,Michael Olise,Crystal Palace,eng ENG,1.16,0.58,155
1327,Jaïro Riedewald,Crystal Palace,eng ENG,0.0,0.07,102
1328,Jean-Philippe Mateta,Crystal Palace,eng ENG,0.0,0.0,61
1329,Jesuran Rak Sakyi,Crystal Palace,eng ENG,0.0,0.0,14
1330,James Tomkins,Crystal Palace,eng ENG,0.0,0.0,9
1331,Reece Hannam,Crystal Palace,eng ENG,0.0,0.0,0
1332,Scott Banks,Crystal Palace,eng ENG,0.0,0.0,0
1333,Jack Butland,Crystal Palace,eng ENG,0.0,0.0,0
1334,Nathaniel Clyne,Crystal Palace,eng ENG,0.0,0.0,0
1335,Will Hughes,Crystal Palace,eng ENG,0.0,0.0,0
1336,Martin Kelly,Crystal Palace,eng ENG,0.0,0.0,0
1337,Remi Matthews,Crystal Palace,eng ENG,0.0,0.0,0
1338,Robert Street,Crystal Palace,eng ENG,0.0,0.0,0
1339,Alexander Nübel,Monaco,fr FRA,0.0,0.0,1260
1340,Aurélien Tchouaméni,Monaco,fr FRA,0.0,0.08,1063
1341,Caio Henrique Oliveira Silva,Monaco,fr FRA,0.38,0.27,952
1342,Gelson Martins,Monaco,fr FRA,0.11,0.13,844
1343,Wissam Ben Yedder,Monaco,fr FRA,0.2,0.15,898
1344,Kevin Volland,Monaco,fr FRA,0.3,0.1,895
1345,Sofiane Diop,Monaco,fr FRA,0.0,0.07,870
1346,Ruben Aguilar,Monaco,fr FRA,0.0,0.02,896
1347,Axel Disasi,Monaco,fr FRA,0.0,0.01,845
1348,Benoît Badiashile,Monaco,fr FRA,0.0,0.0,726
1349,Youssouf Fofana,Monaco,fr FRA,0.38,0.11,717
1350,Guillermo Maripán,Monaco,fr FRA,0.0,0.0,554
1351,Jean Lucas,Monaco,fr FRA,0.0,0.17,486
1352,Aleksandr Golovin,Monaco,fr FRA,0.2,0.16,461
1353,Strahinja Pavlović,Monaco,fr FRA,0.0,0.0,451
1354,Myron Boadu,Monaco,fr FRA,0.2,0.04,451
1355,Eliot Matazo,Monaco,fr FRA,0.0,0.02,363
1356,Djibril Sidibé,Monaco,fr FRA,0.0,0.18,357
1357,Ismail Jakobs,Monaco,fr FRA,0.0,0.04,317
1358,Krepin Diatta,Monaco,fr FRA,0.0,0.04,285
1359,Chrislain Matsima,Monaco,fr FRA,0.0,0.0,60
1360,Wilson Isidor,Monaco,fr FRA,0.0,0.0,43
1361,Cesc Fàbregas,Monaco,fr FRA,0.0,0.3,38
1362,Félix Lemaréchal,Monaco,fr FRA,0.0,0.0,9
1363,Maghnes Akliouche,Monaco,fr FRA,0.0,0.0,1
1364,Radosław Majecki,Monaco,fr FRA,0.0,0.0,0
1365,Vito Mannone,Monaco,fr FRA,0.0,0.0,0
1366,Anthony Musaba,Monaco,fr FRA,0.0,0.0,0
1367,Michael Keane,Everton,eng ENG,0.18,0.05,990
1368,Allan,Everton,eng ENG,0.09,0.03,962
1369,Demarai Gray,Everton,eng ENG,0.19,0.18,936
1370,Lucas Digne,Everton,eng ENG,0.0,0.15,900
1371,Jordan Pickford,Everton,eng ENG,0.0,0.0,900
1372,Andros Townsend,Everton,eng ENG,0.2,0.17,880
1373,Séamus Coleman,Everton,eng ENG,0.0,0.07,720
1374,Abdoulaye Doucouré,Everton,eng ENG,0.5,0.15,720
1375,Ben Godfrey,Everton,eng ENG,0.0,0.04,679
1376,Richarlison,Everton,eng ENG,0.16,0.17,559
1377,Yerry Mina,Everton,eng ENG,0.0,0.0,458
1378,Alex Iwobi,Everton,eng ENG,0.2,0.2,456
1379,Salomón Rondón,Everton,eng ENG,0.0,0.04,433
1380,Anthony Gordon,Everton,eng ENG,0.0,0.12,281
1381,Mason Holgate,Everton,eng ENG,0.0,0.0,278
1382,Dominic Calvert-Lewin,Everton,eng ENG,0.0,0.05,248
1383,Tom Davies,Everton,eng ENG,0.0,0.0,158
1384,Fabian Delph,Everton,eng ENG,0.0,0.04,112
1385,Asmir Begović,Everton,eng ENG,0.0,0.0,90
1386,Jean-Philippe Gbamin,Everton,eng ENG,0.0,0.0,46
1387,André Gomes,Everton,eng ENG,0.0,0.08,68
1388,Jonjoe Kenny,Everton,eng ENG,0.0,0.0,11
1389,Lewis Dobbin,Everton,eng ENG,0.0,0.0,3
1390,Moise Kean,Everton,eng ENG,0.0,0.0,1
1391,Jarrad Branthwaite,Everton,eng ENG,0.0,0.0,0
1392,Nathan Broadhead,Everton,eng ENG,0.0,0.0,0
1393,Andy Lonergan,Everton,eng ENG,0.0,0.0,0
1394,Niels Nkounkou,Everton,eng ENG,0.0,0.0,0
1395,Ellis Simms,Everton,eng ENG,0.0,0.0,0
1396,Cenk Tosun,Everton,eng ENG,0.0,0.0,0
1397,Harry Tyrer,Everton,eng ENG,0.0,0.0,0
1398,Reece Welch,Everton,eng ENG,0.0,0.0,0
1399,Charlie Whitaker,Everton,eng ENG,0.0,0.0,0
1400,Yann Sommer,M'Gladbach,de GER,0.09,0.03,990
1401,Joseph Scally,M'Gladbach,de GER,0.09,0.11,980
1402,Nico Elvedi,M'Gladbach,de GER,0.0,0.0,927
1403,Lars Stindl,M'Gladbach,de GER,0.11,0.17,797
1404,Jonas Hofmann,M'Gladbach,de GER,0.0,0.34,784
1405,Matthias Ginter,M'Gladbach,de GER,0.0,0.01,782
1406,Denis Zakaria,M'Gladbach,de GER,0.12,0.03,765
1407,Alassane Pléa,M'Gladbach,de GER,0.15,0.27,614
1408,Luca Netz,M'Gladbach,de GER,0.2,0.08,444
1409,Louis Beyer,M'Gladbach,de GER,0.0,0.01,540
1410,Breel Embolo,M'Gladbach,de GER,0.18,0.26,504
1411,Kouadio Koné,M'Gladbach,de GER,0.0,0.03,447
1412,Florian Neuhaus,M'Gladbach,de GER,0.0,0.1,547
1413,Ramy Bensebaini,M'Gladbach,de GER,0.0,0.04,406
1414,Christoph Kramer,M'Gladbach,de GER,0.0,0.0,274
1415,Patrick Herrmann,M'Gladbach,de GER,0.54,0.16,335
1416,Hannes Wolf,M'Gladbach,de GER,0.0,0.01,307
1417,Stefan Lainer,M'Gladbach,de GER,0.0,0.38,134
1418,Marcus Thuram,M'Gladbach,de GER,0.0,0.01,129
1419,Tony Jantschke,M'Gladbach,de GER,0.0,0.0,90
1420,Keanan Bennetts,M'Gladbach,de GER,0.0,0.0,48
1421,László Bénes,M'Gladbach,de GER,0.0,0.41,46
1422,Torben Müsel,M'Gladbach,de GER,0.0,0.0,0
1423,Connor Noß,M'Gladbach,de GER,0.0,0.0,0
1424,Mika Schroers,M'Gladbach,de GER,0.0,0.0,0
1425,Tobias Sippel,M'Gladbach,de GER,0.0,0.0,0
1426,Kasper Schmeichel,Leicester City,eng ENG,0.0,0.0,990
1427,Youri Tielemans,Leicester City,eng ENG,0.18,0.27,976
1428,Çağlar Söyüncü,Leicester City,eng ENG,0.0,0.0,967
1429,Jamie Vardy,Leicester City,eng ENG,0.1,0.09,935
1430,Harvey Barnes,Leicester City,eng ENG,0.14,0.03,656
1431,James Maddison,Leicester City,eng ENG,0.0,0.09,605
1432,Ricardo Pereira,Leicester City,eng ENG,0.3,0.07,595
1433,Wilfred Ndidi,Leicester City,eng ENG,0.0,0.0,630
1434,Timothy Castagne,Leicester City,eng ENG,0.0,0.02,688
1435,Boubakary Soumaré,Leicester City,eng ENG,0.16,0.02,565
1436,Daniel Amartey,Leicester City,eng ENG,0.0,0.01,516
1437,Kelechi Iheanacho,Leicester City,eng ENG,0.45,0.3,397
1438,Jonny Evans,Leicester City,eng ENG,0.0,0.0,387
1439,Jannik Vestergaard,Leicester City,eng ENG,0.0,0.01,385
1440,Luke Thomas,Leicester City,eng ENG,0.0,0.01,360
1441,Ryan Bertrand,Leicester City,eng ENG,0.0,0.08,337
1442,Ademola Lookman,Leicester City,eng ENG,0.0,0.21,343
1443,Marc Albrighton,Leicester City,eng ENG,0.0,0.1,191
1444,Ayoze Pérez,Leicester City,eng ENG,1.37,0.29,131
1445,Hamza Choudhury,Leicester City,eng ENG,0.0,0.0,59
1446,Patson Daka,Leicester City,eng ENG,0.84,0.72,107
1447,Kiernan Dewsbury Hall,Leicester City,eng ENG,0.0,0.41,19
1448,Eldin Jakupović,Leicester City,eng ENG,0.0,0.0,0
1449,Dennis Praet,Leicester City,eng ENG,0.0,0.0,0
1450,Danny Ward,Leicester City,eng ENG,0.0,0.0,0
1451,Antonín Barák,Hellas Verona,it ITA,0.17,0.1,1045
1452,Lorenzo Montipò,Hellas Verona,it ITA,0.0,0.0,990
1453,Koray Günter,Hellas Verona,it ITA,0.0,0.0,915
1454,Davide Faraoni,Hellas Verona,it ITA,0.2,0.1,911
1455,Darko Lazović,Hellas Verona,it ITA,0.21,0.13,843
1456,Paweł Dawidowicz,Hellas Verona,it ITA,0.0,0.01,827
1457,Ivan Ilić,Hellas Verona,it ITA,0.39,0.11,694
1458,Nicolò Casale,Hellas Verona,it ITA,0.13,0.12,685
1459,Gianluca Caprari,Hellas Verona,it ITA,0.55,0.28,651
1460,Giovanni Simeone,Hellas Verona,it ITA,0.28,0.12,644
1461,Federico Ceccherini,Hellas Verona,it ITA,0.0,0.02,462
1462,Miguel Veloso,Hellas Verona,it ITA,0.41,0.11,440
1463,Adrien Tameze,Hellas Verona,it ITA,0.0,0.01,587
1464,Martin Hongla,Hellas Verona,it ITA,0.0,0.01,317
1465,Nikola Kalinić,Hellas Verona,it ITA,0.0,0.1,312
1466,Giangiacomo Magnani,Hellas Verona,it ITA,0.0,0.0,374
1467,Daniel Bessa,Hellas Verona,it ITA,0.0,0.05,215
1468,Kevin Lasagna,Hellas Verona,it ITA,0.0,0.1,206
1469,Mattia Zaccagni,Hellas Verona,it ITA,0.0,0.4,180
1470,Bosko Sutalo,Hellas Verona,it ITA,0.0,0.0,226
1471,Matteo Cancellieri,Hellas Verona,it ITA,0.0,0.1,134
1472,Ivor Pandur,Hellas Verona,it ITA,0.0,0.0,90
1473,Yıldırım Mert Çetin,Hellas Verona,it ITA,0.0,0.0,46
1474,Samuel Di Carmine,Hellas Verona,it ITA,0.0,0.0,36
1475,Alessandro Berardi,Hellas Verona,it ITA,0.0,0.0,0
1476,Gianluca Frabotta,Hellas Verona,it ITA,0.0,0.0,0
1477,Antonino Ragusa,Hellas Verona,it ITA,0.0,0.0,0
1478,Kevin Rüegg,Hellas Verona,it ITA,0.0,0.0,0
1479,Guglielmo Vicario,Empoli,it ITA,0.0,0.0,1080
1480,Riccardo Marchizza,Empoli,it ITA,0.0,0.1,926
1481,Petar Stojanović,Empoli,it ITA,0.1,0.08,893
1482,Samuele Ricci,Empoli,it ITA,0.0,0.01,747
1483,Nicolas Haas,Empoli,it ITA,0.24,0.07,743
1484,Andrea Pinamonti,Empoli,it ITA,0.0,0.04,712
